Begin Up, End Up
237.476, 237.494
237.541, 237.573
237.616, 237.65
240.719, 240.749
240.799, 240.842
240.867, 240.886
240.935, 240.976
240.998, 241.017
241.06, 241.079
241.114, 241.132
241.169, 241.188
241.223, 241.241
241.279, 241.299
241.337, 241.355
241.393, 241.411
241.448, 241.466
241.504, 241.522
241.558, 241.576
241.612, 241.63
241.668, 241.686
241.723, 241.741
241.779, 241.797
241.837, 241.856
241.892, 241.91
241.971, 241.997
242.037, 242.059
242.126, 242.144
242.193, 242.212
242.259, 242.278
242.323, 242.342
242.379, 242.397
242.437, 242.455
242.495, 242.514
245.435, 245.472
245.519, 245.543
245.589, 245.612
245.653, 245.672
245.711, 245.73
245.778, 245.796
245.844, 245.862
245.937, 245.957
246.004, 246.024
246.082, 246.101
246.15, 246.17
246.235, 246.257
246.297, 246.316
246.356, 246.376
246.414, 246.434
246.471, 246.489
246.535, 246.554
246.59, 246.609
246.646, 246.664
246.704, 246.722
246.76, 246.779
246.817, 246.836
246.879, 246.897
246.935, 246.971
247.002, 247.022
247.063, 247.082
247.129, 247.147
247.196, 247.215
247.261, 247.28
247.328, 247.346
250.173, 250.194
250.24, 250.265
250.289, 250.312
250.338, 250.361
250.384, 250.407
250.441, 250.463
250.498, 250.535
250.558, 250.581
250.622, 250.658
250.688, 250.707
250.728, 250.746
250.767, 250.785
250.827, 250.86
250.894, 250.925
250.972, 251.011
251.049, 251.068
251.105, 251.138
251.17, 251.19
251.211, 251.23
251.251, 251.269
251.291, 251.322
251.342, 251.362
251.381, 251.4
251.424, 251.442
251.463, 251.481
251.501, 251.519
251.54, 251.558
251.589, 251.607
251.645, 251.682
251.703, 251.721
251.754, 251.773
251.8, 251.819
254.617, 254.653
254.684, 254.708
254.734, 254.757
254.787, 254.809
254.832, 254.855
254.878, 254.902
254.924, 254.947
254.968, 254.991
255.013, 255.035
255.055, 255.077
255.099, 255.121
255.142, 255.164
255.185, 255.206
255.226, 255.248
255.271, 255.293
255.313, 255.335
255.355, 255.377
255.399, 255.421
255.441, 255.464
255.488, 255.51
