Time, Time Step, Voltage 1, Voltage 2, Voltage 3, Voltage 4, Voltage 5, Voltage 6, Voltage 7, Current 1
3.11350000000000270037e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230590302975e+00, 2.45081967231249198136e+00, 2.45081967231098873938e+00, 2.45081967230503261490e+00, 2.45081967230717578943e+00, 2.45081967230654340639e+00, -9.64686865089941277679e-04
3.16350000000000248635e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230666730728e+00, 2.45081967231240183125e+00, 2.45081967231145991803e+00, 2.45081967230346942088e+00, 2.45081967230594033325e+00, 2.45081967230819630643e+00, -9.64686865089940301897e-04
3.21350000000000227233e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230787434175e+00, 2.45081967231155806175e+00, 2.45081967231149278064e+00, 2.45081967230222019793e+00, 2.45081967230469999208e+00, 2.45081967231028796661e+00, -9.64686865089941819780e-04
3.26350000000000205831e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230944863800e+00, 2.45081967230988606588e+00, 2.45081967231095720905e+00, 2.45081967230158337401e+00, 2.45081967230366126742e+00, 2.45081967231259767459e+00, -9.64686865089941277679e-04
3.31350000000000184429e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967231123298845e+00, 2.45081967230742803210e+00, 2.45081967230978081673e+00, 2.45081967230183739304e+00, 2.45081967230305375338e+00, 2.45081967231480257752e+00, -9.64686865089940518737e-04
3.36350000000000163027e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967231299024945e+00, 2.45081967230437047789e+00, 2.45081967230797737045e+00, 2.45081967230319097695e+00, 2.45081967230309949457e+00, 2.45081967231650432737e+00, -9.64686865089940843998e-04
3.41350000000000141625e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967231441977262e+00, 2.45081967230105224331e+00, 2.45081967230566899474e+00, 2.45081967230573516403e+00, 2.45081967230397790303e+00, 2.45081967231727837486e+00, -9.64686865089941060838e-04
3.46350000000000120223e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967231519026740e+00, 2.45081967229795116836e+00, 2.45081967230309594186e+00, 2.45081967230938380098e+00, 2.45081967230578001704e+00, 2.45081967231673125696e+00, -9.64686865089940843998e-04
3.51350000000000098821e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967231498643045e+00, 2.45081967229564678945e+00, 2.45081967230061303908e+00, 2.45081967231384156847e+00, 2.45081967230846720085e+00, 2.45081967231457786838e+00, -9.64686865089940735578e-04
3.56350000000000077419e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967231356534498e+00, 2.45081967229474528835e+00, 2.45081967229865682611e+00, 2.45081967231859820799e+00, 2.45081967231184405520e+00, 2.45081967231072272995e+00, -9.64686865089941711360e-04
3.61350000000000056017e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967231081820913e+00, 2.45081967229579955614e+00, 2.45081967229770425476e+00, 2.45081967232294539727e+00, 2.45081967231554465059e+00, 2.45081967230532260515e+00, -9.64686865089940627158e-04
3.66350000000000034615e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230682407077e+00, 2.45081967229918751272e+00, 2.45081967229819852605e+00, 2.45081967232604336360e+00, 2.45081967231904451765e+00, 2.45081967229883490589e+00, -9.64686865089940627158e-04
3.71350000000000013212e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230189379237e+00, 2.45081967230500996635e+00, 2.45081967230046871009e+00, 2.45081967232702169213e+00, 2.45081967232170327975e+00, 2.45081967229203412373e+00, -9.64686865089941277679e-04
3.76349999999999991810e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967229658292950e+00, 2.45081967231299069354e+00, 2.45081967230464314866e+00, 2.45081967232511521715e+00, 2.45081967232284059222e+00, 2.45081967228596120378e+00, -9.64686865089940410317e-04
3.81349999999999970408e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967229166775013e+00, 2.45081967232241071386e+00, 2.45081967231056596646e+00, 2.45081967231981945332e+00, 2.45081967232183339789e+00, 2.45081967228183739138e+00, -9.64686865089941494519e-04
3.86349999999999949006e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967228807906523e+00, 2.45081967233211139856e+00, 2.45081967231774777716e+00, 2.45081967231105490868e+00, 2.45081967231824071618e+00, 2.45081967228090125133e+00, -9.64686865089940843998e-04
3.91349999999999927604e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967228679031834e+00, 2.45081967234055841942e+00, 2.45081967232535147261e+00, 2.45081967229929542640e+00, 2.45081967231192576762e+00, 2.45081967228421282456e+00, -9.64686865089941277679e-04
3.96349999999999906202e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967228867014796e+00, 2.45081967234598874228e+00, 2.45081967233223041447e+00, 2.45081967228564723271e+00, 2.45081967230316610795e+00, 2.45081967229243025130e+00, -9.64686865089942470301e-04
4.01349999999999884800e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967229430697230e+00, 2.45081967234664155342e+00, 2.45081967233703412745e+00, 2.45081967227184538416e+00, 2.45081967229272557063e+00, 2.45081967230558017690e+00, -9.64686865089941602940e-04
4.06349999999999863398e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967230382913314e+00, 2.45081967234105180253e+00, 2.45081967233837350051e+00, 2.45081967226014274530e+00, 2.45081967228186448082e+00, 2.45081967232287345482e+00, -9.64686865089941277679e-04
4.11349999999999841996e-08, 5.00000000000000031141e-10, 5.00000000000000000000e+00, 2.45081967231675523777e+00, 2.45081967232837039106e+00, 2.45081967233503927872e+00, 2.45081967225308750002e+00, 2.45081967227227215389e+00, 2.45081967234260789112e+00, -9.64686865089942145041e-04
