Begin Mid, End Mid
286.135, 286.154
286.188, 286.207
286.242, 286.261
286.297, 286.316
286.349, 286.368
286.415, 286.432
286.473, 286.492
286.517, 286.535
286.571, 286.589
286.623, 286.641
286.662, 286.681
286.7, 286.718
286.748, 286.766
289.737, 289.787
289.813, 289.854
289.877, 289.899
289.944, 289.966
290.016, 290.055
290.098, 290.138
290.17, 290.193
290.238, 290.26
290.307, 290.33
290.374, 290.396
290.437, 290.46
290.506, 290.546
290.568, 290.591
290.631, 290.653
290.697, 290.719
290.758, 290.777
290.813, 290.832
290.868, 290.886
290.92, 290.938
290.971, 290.99
291.037, 291.055
291.099, 291.117
291.158, 291.175
291.212, 291.23
291.265, 291.284
291.319, 291.337
291.371, 291.389
291.423, 291.441
291.477, 291.495
291.53, 291.562
294.375, 294.419
294.444, 294.478
294.501, 294.536
294.572, 294.607
294.636, 294.67
294.692, 294.726
294.752, 294.775
294.817, 294.839
294.88, 294.903
294.942, 294.965
295.002, 295.024
295.064, 295.087
295.126, 295.149
295.188, 295.21
295.25, 295.272
295.31, 295.332
295.384, 295.406
295.458, 295.48
295.524, 295.546
295.585, 295.608
295.651, 295.673
295.714, 295.737
295.776, 295.794
295.831, 295.85
295.886, 295.904
295.941, 295.96
295.994, 296.013
296.048, 296.067
296.105, 296.123
296.159, 296.177
299.381, 299.41
299.46, 299.479
299.523, 299.542
299.588, 299.628
299.651, 299.692
299.714, 299.733
299.779, 299.8
299.844, 299.867
299.904, 299.926
299.966, 299.987
300.034, 300.055
300.101, 300.144
300.189, 300.227
300.256, 300.279
300.311, 300.334
300.365, 300.387
300.411, 300.433
300.456, 300.494
300.518, 300.541
300.564, 300.586
300.609, 300.631
300.656, 300.678
300.701, 300.723
300.745, 300.766
300.789, 300.807
300.828, 300.846
300.864, 300.882
300.903, 300.921
300.962, 300.98
301.02, 301.037
301.064, 301.082
301.103, 301.121
304.025, 304.06
304.118, 304.138
304.263, 304.281
304.303, 304.322
304.354, 304.372
304.457, 304.492
304.533, 304.551
304.631, 304.651
304.689, 304.707
304.753, 304.771
304.816, 304.835
304.872, 304.903
304.93, 304.949
304.991, 305.01
305.051, 305.085
305.105, 305.123
305.161, 305.179
305.208, 305.227
305.252, 305.27
305.293, 305.311
305.338, 305.356
305.381, 305.399
305.421, 305.439
305.468, 305.487
305.511, 305.529
305.554, 305.572
305.598, 305.616
305.641, 305.659
305.685, 305.703
305.729, 305.748
305.77, 305.789
308.614, 308.647
308.678, 308.701
308.729, 308.752
308.779, 308.798
308.819, 308.845
308.867, 308.901
308.935, 308.968
309.02, 309.109
309.139, 309.163
309.201, 309.222
309.263, 309.282
309.328, 309.347
309.386, 309.405
309.444, 309.462
309.503, 309.522
309.561, 309.58
309.619, 309.637
309.678, 309.697
309.735, 309.754
309.793, 309.811
309.851, 309.87
309.907, 309.926
309.965, 309.99
310.023, 310.043
310.083, 310.102
310.149, 310.166
310.211, 310.23
310.273, 310.291
310.336, 310.355
310.397, 310.415
313.499, 313.53
313.58, 313.599
313.645, 313.663
313.713, 313.731
313.774, 313.792
313.83, 313.848
