Begin Down, End Down
216.971, 217.021
217.047, 217.089
217.112, 217.147
217.169, 217.206
217.23, 217.266
217.288, 217.324
217.345, 217.381
217.404, 217.44
217.461, 217.503
217.525, 217.565
220.545, 220.627
220.658, 220.702
220.739, 220.796
220.83, 220.869
220.913, 220.93
220.956, 220.979
221.02, 221.06
221.082, 221.116
221.141, 221.18
221.201, 221.235
221.258, 221.294
221.32, 221.356
221.38, 221.413
221.44, 221.479
221.518, 221.553
221.579, 221.612
221.638, 221.673
221.697, 221.731
221.754, 221.788
221.81, 221.844
221.866, 221.901
221.921, 221.955
221.977, 222.002
222.032, 222.066
222.087, 222.12
222.141, 222.174
222.194, 222.228
222.251, 222.287
222.31, 222.344
222.365, 222.395
222.416, 222.453
222.476, 222.518
235.697, 235.755
235.781, 235.818
235.843, 235.881
235.904, 235.944
235.966, 236.005
236.028, 236.067
236.091, 236.131
236.154, 236.195
236.219, 236.257
236.278, 236.313
236.332, 236.366
236.387, 236.423
236.442, 236.487
236.511, 236.547
236.567, 236.602
236.621, 236.655
236.676, 236.712
236.733, 236.77
236.789, 236.829
236.853, 236.896
236.917, 236.959
236.98, 237.019
237.043, 237.08
237.102, 237.138
237.159, 237.2
237.224, 237.265
237.286, 237.324
237.347, 237.423
237.479, 237.523
237.544, 237.592
237.616, 237.657
240.719, 240.771
240.802, 240.822
240.869, 240.911
240.935, 240.954
241.001, 241.038
241.06, 241.095
241.115, 241.148
241.169, 241.204
241.224, 241.26
241.28, 241.313
241.338, 241.374
241.394, 241.429
241.449, 241.484
241.505, 241.539
241.558, 241.593
241.613, 241.648
241.669, 241.704
241.725, 241.759
241.779, 241.797
241.839, 241.874
241.893, 241.938
241.973, 242.015
242.039, 242.1
242.128, 242.168
242.196, 242.239
242.262, 242.303
242.325, 242.358
242.381, 242.419
242.438, 242.476
242.497, 242.534
245.439, 245.492
245.519, 245.563
245.591, 245.63
245.655, 245.69
245.715, 245.754
245.78, 245.821
245.862, 245.907
245.941, 245.983
246.008, 246.06
246.085, 246.126
246.151, 246.213
246.241, 246.276
246.298, 246.332
246.356, 246.393
246.416, 246.45
246.471, 246.507
246.536, 246.57
246.592, 246.626
246.647, 246.681
246.705, 246.739
246.762, 246.797
246.819, 246.855
246.88, 246.915
246.938, 246.979
247.002, 247.043
247.067, 247.108
247.13, 247.172
247.197, 247.241
247.263, 247.306
247.33, 247.371
250.177, 250.215
250.24, 250.264
250.289, 250.312
250.338, 250.361
250.384, 250.42
250.443, 250.47
250.5, 250.535
