Begin Mid, Begin Up, Begin Down, End Mid, End Up, End Down
57.764, 57.764, 57.764, 58.007, 58.0088, 57.9616
58.0303, 58.0303, 58.0313, 58.2377, 58.2873, 58.2457
58.3096, 58.3096, 58.311, 58.5072, 58.5492, 58.5072
58.574, 58.574, 58.5755, 58.7763, 58.8139, 58.7763
58.8359, 58.8359, 58.8369, 59.0302, 59.033, 59.0349
59.0555, 59.0555, 59.0569, 59.2494, 59.2484, 59.2646
59.2881, 59.2881, 59.2895, 59.4805, 59.5366, 59.4898
59.5575, 59.5584, 59.5584, 59.7484, 59.7484, 59.7641
59.7981, 59.7981, 59.7981, 60.0098, 60.0098, 59.9825
60.0351, 60.0351, 60.0351, 60.2248, 60.314, 60.2248
60.336, 60.336, 60.3394, 60.5261, 60.5261, 60.5774
60.6051, 60.6051, 60.6051, 60.8007, 60.7993, 60.8007
60.8217, 60.8217, 60.8217, 61.0215, 61.0215, 61.0215
61.0428, 61.0428, 61.0428, 61.2387, 61.2387, 61.2387
61.2626, 61.2626, 61.2626, 61.4989, 61.4989, 61.4584
61.5209, 61.5209, 61.5209, 61.7203, 61.7203, 61.7203
61.7413, 61.7413, 61.7423, 61.9384, 61.9384, 61.9384
61.9617, 61.9617, 61.9617, 62.1554, 62.1554, 62.1144
62.1855, 62.1868, 62.1868, 62.3976, 62.3976, 62.3501
62.4186, 62.4215, 62.4248, 62.6297, 62.6297, 62.683
62.7083, 62.7083, 62.711, 62.8695, 62.8695, 62.9253
62.9477, 62.9477, 62.9505, 63.2072, 63.2091, 63.1658
63.2311, 63.2311, 63.2325, 63.4422, 63.4442, 63.5114
63.541, 63.541, 63.5424, 63.7546, 63.7537, 63.8453
63.8729, 63.8729, 63.8763, 64.07, 64.0767, 64.193
64.2218, 64.2218, 64.2252, 64.4111, 64.4121, 64.4652
64.4892, 64.4892, 64.4892, 64.6858, 64.6897, 64.693
64.7143, 64.7143, 64.7143, 64.9115, 64.9105, 64.9105
64.9343, 64.9343, 64.9343, 65.1505, 65.1481, 65.1481
65.1701, 65.1701, 65.1701, 65.3705, 65.3705, 65.3705
65.392, 65.392, 65.392, 65.595, 65.595, 65.595
65.6193, 65.6193, 65.6202, 65.8702, 65.8731, 65.8193
65.8973, 65.8973, 65.8988, 66.1445, 66.1641, 66.105
66.1966, 66.1966, 66.198, 66.5294, 66.5329, 66.4442
66.559, 66.559, 66.56, 66.8484, 66.8474, 66.7611
66.8712, 66.8726, 66.8759, 67.115, 67.115, 67.077
67.1372, 67.1382, 67.1415, 67.3741, 67.3831, 67.3419
67.4077, 67.4077, 67.4087, 67.6522, 67.6522, 67.6522
67.6747, 67.6747, 67.6762, 67.8706, 67.8706, 67.8715
67.8965, 67.8965, 67.8979, 68.0982, 68.0982, 68.0982
68.1208, 68.1208, 68.1208, 68.3554, 68.3577, 68.3163
68.3793, 68.3793, 68.3807, 68.6207, 68.6188, 68.5811
